H1,Always Tell Your Wife,1922,Drama,
H2,Number Thirteen,1922,,
H3,Woman to Woman,1922,Drama,England
H4,The Passionate Adventure,1924,,
H5,The Blackguard,1925,,
H7,The Pleasure Garden,1925,Drama,
H8,The Mountain Eagle,1926,Drama,
H9,The Lodger: A Story of The London Fog,1926,thriller,England
H10,Downhill,1927,thriller,
H11,Easy Virtue,1927,thriller,"England, France"
H12,The Ring,1927,thriller,England
H13,The Farmer's Wife,1928,thriller,
H14,Champagne,1928,romantic,
H15,Harmony Heaven,1929,thriller,
H16,The Manxman,1929,thriller,England
H17,Blackmail,1929,thriller,England
H18,Elstree Calling,1929,musical,
H19,Juno And The Paycock,1930,thriller,Ireland
H20,Murder!,1930,mystery,England
H21,The Skin Game,1931,Drama,
H22,Rich and Strange,1932,thriller,"England, Singapore, France, Pacific"
H23,Number Seventeen,1932,mystery,England
H24,Lord Camber's Ladies,1932,thriller,England
H25,Waltzes From Vienna,1933,"comedy, romantic",Austria
H26,The Man Who Knew Too Much,1934,thriller,"England, Switzerland"
H27,The 39 Steps,1935,thriller,England
H28,Secret Agent,1936,thriller,"England, Switzerland"
H29,Sabotage,1936,thriller,England
H30,Young and Innocent,1938,thriller,
H31,The Lady Vanishes,1938,thriller,Austria
H32,Jamaica Inn,1939,Drama,England
H33,Rebecca,1940,Drama,England
H34,Foreign Correspondent,1940,thriller,"England, Atlantic, Netherlands"
H35,Mr.~and Mrs.~Smith,1941,romantic,New York
H36,Suspicion,1941,thriller,England
H37,Saboteur,1942,thriller,"New York, WY"
H38,Shadow of a Doubt,1943,thriller,Canada
H39,Lifeboat,1943,thriller,
H42,Spellbound,1945,thriller,Vermont
H43,Notorious,1946,thriller,Brazil
H44,The Paradine Case,1947,thriller,England
H45,Rope,1948,thriller,New York
H46,Under Capricorn,1949,Drama,Australia
H47,Stage Fright,1950,thriller,"England, Germany"
H48,Strangers on a Train,1951,thriller,New York
H49,I Confess,1952,thriller,Canada
H50,Dial M for Murder,1954,thriller,England
H51,Rear Window,1954,thriller,USA
H52,To Catch a Thief,1955,thriller,France
H53,The Trouble with Harry,1956,thriller,Vt
H57,The Man Who Knew Too Much,1956,thriller,"England, Morocco, India"
H61,The Wrong Man,1957,"Documentary, thriller",USA
H65,Vertigo,1958,thriller,Canada
H69,North by Northwest,1959,thriller,"USA, IL, India, MT"
H73,Psycho,1960,thriller,AZ
H79,The Birds,1963,thriller,Canada
H80,Marnie,1964,thriller,PA
H81,Torn Curtain,1966,thriller,Germany
H82,Topaz,1969,thriller,"Cuba, Denmark, France, Russia"
H83,Frenzy,1972,thriller,England
H84,Family Plot,1976,thriller,
H40,Aventure Malgache,1944,adventure,
H41,Bon Voyage,1944,adventure,
H54,Revenge,1955,thriller,
H55,Breakdown,1955,thriller,NJ
H56,The Case of Mr.~Pelham,1955,thriller,
H58,Back For Christmas,1956,thriller,
H59,Wet Saturday,1956,thriller,
H60,Mr.~Blanchhard's Secret,1956,thriller,
H62,One More Mile To Go,1957,thriller,Canada
H63,Four O'Clock,1957,thriller,
H64,The Perfect Crime,1957,thriller,New York
H66,Lamb To The Slaughter,1958,thriller,
H67,A Dip In The Pool,1958,thriller,Atlantic Ocean
H68,Poison,1958,thriller,
H70,Banquo's Chair,1959,thriller,
H71,Arthur,1959,thriller,New Zealand
H72,The Crystal Trench,1959,thriller,Switzerland
H74,Incident at a Corner,1960,thriller,
H75,Mrs.~Bixby and The Colonel's Coat,1960,thriller,
H76,The Horseplayer,1961,thriller,USA
H77,Bang! You're Dead,1961,thriller,USA
H78,I Saw The Whole Thing,1962,thriller,
WKD10,The Edison Kinetopic Record of A Sneeze,1893,Documentary,
WKD50,"Terrible Teddy, the Grizzly King",1901,comedy,
ALu1,La Premiere Seance du Salon Indien au Grand Caf\'e,1895,,France
ALu2,La Sortie des Usines Lumi\`ere,1895,Documentary,France
ALu3,Arriv\'ee d'un train en G\^are de la Ciatat,1895,Documentary,France
ALu4,Le Gouter de B\'eb\'e,1895,,
ALu5,L'Arroseur arross\'e,1895,comedy,France
ALu6,Barque Quittant le Port,1895,Documentary,
ALu7,Boules,1895,,
ALu30,L'assissinatat du Duc de Guise,1908,violence,France
ESP9,Jack and the Beanstalk,1902,comedy,
ESP10,Uncle Tom's Cabin,1902,comedy,
ESP11,Life of an American Fireman,1903,western,
ESP12,The Great Train Robbery,1903,western,USA
ESP16,The Little Train Robbery,1905,,USA
ESP17,The Kleptomaniac,1905,,
ESP25,The Count of Monte Christo,1912,Drama,
ESP26,The Prisoner of Zenda,1912,Drama,
ESP27,His Neighbor's Wife,1912,Drama,
ESP28,Tess of the d'Ubervilles,1912,Drama,
ESP30,An American Citizen,1913,,
ESP31,A Good Little Devil,1913,,
ESP32,In The Bishop's Carriage,1913,,
ESP33,Caprice,1913,,
ESP34,Hearts Adrift,1913,,
ESP40,Tess of The Storm Country,1914,Drama,
GMs1,L'Escamontage d'une Dame,1896,,France
GMs2,L'Homme orchestre,1900,,
GMs4,Cinderella,1900,Fant ,
GMs6,Le voyage dans la lune,1902,"cartoon, science fiction",Universe
GMs8,Danseuse Microscopique,1902,science fiction,
GMs12,An Impossible Voyage,1904,,
GMs20,L'Homme a la Tete en Caoutchouc,1906,Fant,
AMv10,The Downward Path,1900,Drama,
Z0001,Hamlet,1900,,
Z0002,Romea and Juliet,1900,,
Z0003,King Lear,1905,,
Z0004,Julius Cesar,1907,,
Z0005,Othello,1907,,
Z0006,Macbeth,1908,,
Z0007,Richard III,1908,,
WRB10,The Magic Sword or A Medieval Mystery,1891,Fant,England
CPa1,La Passion,1902,,
CPa50,Les Mis\'erables,1909,Drama,France
WHa1,The Maniac's Guillotine,1902,horror,
WHa8,The Life of Charles Pierce,1905,biographical Picture,
WMc10,Kit Carson,1903,adventure,
ThE10,Parsifal,1904,"biographical Picture, musical",
JaC1,The Wagon Trails,1906,adventure,Oregon
JaC7,Too Many Millions,1918,,
JaC10,The Covered Wagon,1923,western,
JaC12,Hollywood,1918,,
JaC15,Ruggles of Red Gap,1918,western,
JaC20,Beggars on Horseback,1925,western,
JaC23,Pony Express,1925,western,
JaC25,Old Ironsides,1926,adventure,Atlantic
JaC28,The Great Gabbo,1929,musical,Europe
JaC33,Washington Merry Go Round,1932,,
JaC35,I Cover the Waterfront,1933,,
JaC40,Sutter's Gold,1936,,
GKS60,The Dead Man's Claim,1912,western,USA
